genotype,odor,response.time,experimenter,date
N2,30pct_oct,2.4,TB,2021-08-27
N2,30pct_oct,1.5,TB,2021-08-27
N2,30pct_oct,1.31,TB,2021-08-27
N2,30pct_oct,4.15,TB,2021-08-27
N2,30pct_oct,3.39,TB,2021-08-27
N2,30pct_oct,2.97,TB,2021-08-27
N2,30pct_oct,2.42,TB,2021-08-27
N2,30pct_oct,3.72,TB,2021-08-27
N2,30pct_oct,4.16,TB,2021-08-27
N2,30pct_oct,1.8,MOD,2021-08-27
N2,30pct_oct,3.8,MOD,2021-08-27
N2,30pct_oct,1.4,MOD,2021-08-27
N2,30pct_oct,1.8,MOD,2021-08-27
N2,30pct_oct,1.3,MOD,2021-08-27
N2,30pct_oct,3.04,MOD,2021-08-27
N2,30pct_oct,1.9,MOD,2021-08-27
N2,30pct_oct,1.1,MOD,2021-08-27
N2,30pct_oct,1.6,MOD,2021-08-27
N2,30pct_oct,1.4,MOD,2021-08-27
N2,30pct_oct,2.2,MOD,2021-08-27
cest-2.1,30pct_oct,2.5,TB,2021-08-27
cest-2.1,30pct_oct,6.24,TB,2021-08-27
cest-2.1,30pct_oct,5.58,TB,2021-08-27
cest-2.1,30pct_oct,1.93,TB,2021-08-27
cest-2.1,30pct_oct,2.58,TB,2021-08-27
cest-2.1,30pct_oct,4.15,TB,2021-08-27
cest-2.1,30pct_oct,2.92,TB,2021-08-27
cest-2.1,30pct_oct,6.98,TB,2021-08-27
cest-2.1,30pct_oct,1.23,TB,2021-08-27
cest-2.1,30pct_oct,2.56,TB,2021-08-27
cest-2.1,30pct_oct,3.9,MOD,2021-08-27
cest-2.1,30pct_oct,1.2,MOD,2021-08-27
cest-2.1,30pct_oct,1.9,MOD,2021-08-27
cest-2.1,30pct_oct,9.6,MOD,2021-08-27
cest-2.1,30pct_oct,1.4,MOD,2021-08-27
cest-2.1,30pct_oct,1.8,MOD,2021-08-27
cest-2.1,30pct_oct,2.5,MOD,2021-08-27
cest-2.1,30pct_oct,4.3,MOD,2021-08-27
cest-2.1,30pct_oct,1.8,MOD,2021-08-27
cest-2.1,30pct_oct,1.1,MOD,2021-08-27
N2,30pct_oct,1.17,TB,2021-08-27
N2,30pct_oct,3.14,TB,2021-08-27
N2,30pct_oct,4.07,TB,2021-08-27
N2,30pct_oct,3.21,TB,2021-08-27
N2,30pct_oct,2.33,TB,2021-08-27
N2,30pct_oct,1.25,TB,2021-08-27
N2,30pct_oct,1.79,TB,2021-08-27
N2,30pct_oct,2.98,TB,2021-08-27
cest-2.1,30pct_oct,2.6,MOD,2021-08-27
cest-2.1,30pct_oct,3.8,MOD,2021-08-27
cest-2.1,30pct_oct,1.5,MOD,2021-08-27
cest-2.1,30pct_oct,1.3,MOD,2021-08-27
cest-2.1,30pct_oct,2.9,MOD,2021-08-27
cest-2.1,30pct_oct,1.5,MOD,2021-08-27
cest-2.1,30pct_oct,2.3,MOD,2021-08-27
cest-2.1,30pct_oct,1.8,MOD,2021-08-27
cest-2.1,30pct_oct,3.6,MOD,2021-08-27
cest-2.1,30pct_oct,1.3,MOD,2021-08-27
